Date,Open,High,Low,Close,Volume,Day,Month,Year,% Change,MM_7,MM_15,Delta_7,Delta_15,Delta_MM,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Raised,Next Raised
2025-04-04,193.6360793511012,199.61824028069563,187.09465424061224,188.13330078125,125910900,4,4,2025,-7.288743866843539,214.36603655133928,215.9062052408854,-26.232735770089278,-27.772904459635413,-1.5401686895461353,181.2223663330078,172.19419860839844,198.58958435058594,190.17062377929688,197.89048767089844,0,0
2025-04-07,176.967935484531,193.89573468350994,174.39131242893686,181.2223663330078,160466300,7,4,2025,-3.673424332398123,208.31825474330358,213.73971354166667,-27.09588841029577,-32.51734720865886,-5.421458798363091,172.19419860839844,198.58958435058594,190.17062377929688,197.89048767089844,202.25477600097656,0,0
2025-04-08,186.4554964395268,190.09072892121037,168.9884109270566,172.19419860839844,120859500,8,4,2025,-4.981817590892468,201.82962254115515,211.05856323242188,-29.63542393275671,-38.86436462402344,-9.228940691266729,198.58958435058594,190.17062377929688,197.89048767089844,202.25477600097656,201.87527465820312,0,1
2025-04-09,171.72480450043201,200.3472738997123,171.6648855169899,198.58958435058594,184395900,9,4,2025,15.328847287251236,198.50826372419084,209.9673278808594,0.0813206263950974,-11.377743530273449,-11.459064156668546,190.17062377929688,197.89048767089844,202.25477600097656,201.87527465820312,194.0155792236328,1,0
2025-04-10,188.82240088513313,194.52491452460524,182.76034285398336,190.17062377929688,121880000,10,4,2025,-4.239376701864894,193.83296639578683,208.39072875976564,-3.6623426164899513,-18.22010498046876,-14.55776236397881,197.89048767089844,202.25477600097656,201.87527465820312,194.0155792236328,196.72203063964844,0,1
2025-04-11,185.856281088865,199.27866665425725,185.81632494094944,197.89048767089844,87435900,11,4,2025,4.059440800152636,190.16063799176897,207.05115152994793,7.729849679129472,-9.160663859049492,-16.890513538178965,202.25477600097656,201.87527465820312,194.0155792236328,196.72203063964844,192.9070281982422,1,1
2025-04-14,211.1630921847052,212.6611277249045,200.8965565016436,202.25477600097656,101352900,14,4,2025,2.2054058188669234,190.06504821777344,205.8387420654297,12.189727783203125,-3.5839660644531364,-15.773693847656261,201.87527465820312,194.0155792236328,196.72203063964844,192.9070281982422,199.47842407226562,1,0
2025-04-15,201.59564256833872,203.24347561495443,199.53834280484799,201.87527465820312,51343900,15,4,2025,-0.18763529360197317,192.02818734305245,204.39996236165365,9.847087315150674,-2.5246877034505246,-12.371775018601198,194.0155792236328,196.72203063964844,192.9070281982422,199.47842407226562,204.33206176757812,0,0
2025-04-16,198.10021911176236,200.4371508814261,192.11805840887246,194.0155792236328,59732400,16,4,2025,-3.8933422866557765,193.8557891845703,202.585009765625,0.1597900390625,-8.569430541992176,-8.729220581054676,196.72203063964844,192.9070281982422,199.47842407226562,204.33206176757812,208.09710693359375,0,1
2025-04-17,196.94174374665747,198.56961397436802,194.16538565496842,196.72203063964844,51334300,17,4,2025,1.3949660263602004,197.3597651890346,200.7960225423177,-0.6377345493861526,-4.073991902669263,-3.4362573532831107,192.9070281982422,199.47842407226562,204.33206176757812,208.09710693359375,209.00592041015625,1,0
2025-04-21,193.01688474432112,193.54618940120912,189.56140949031536,192.9070281982422,46742500,21,4,2025,-1.939285818167713,196.54797145298548,199.1488494873047,-3.6409432547432914,-6.2418212890625,-2.6008780343192086,199.47842407226562,204.33206176757812,208.09710693359375,209.00592041015625,209.8647918701172,0,1
2025-04-22,195.8631544964882,201.32599215129426,195.71335703344474,199.47842407226562,52976400,22,4,2025,3.406509309381045,197.8776572091239,197.65813802083332,1.600766863141729,1.820286051432305,0.21951918829057604,204.33206176757812,208.09710693359375,209.00592041015625,209.8647918701172,210.9333953857422,1,1
2025-04-23,205.7302222309065,207.7276030292648,202.5344160012944,204.33206176757812,52929200,23,4,2025,2.4331642471539405,198.79788208007812,196.42042846679686,5.5341796875,7.911633300781261,2.3774536132812614,208.09710693359375,209.00592041015625,209.8647918701172,210.9333953857422,212.22171020507812,1,1
2025-04-24,204.62166872266098,208.5565112075726,202.67422555441442,208.09710693359375,47311000,24,4,2025,1.842611058414434,199.63250078473772,195.38711649576823,8.464606148856035,12.709990437825525,4.24538428896949,209.00592041015625,209.8647918701172,210.9333953857422,212.22171020507812,213.04063415527344,1,1
2025-04-25,206.0997277622984,209.47530610539675,205.92995222724628,209.00592041015625,38222300,25,4,2025,0.43672566618262465,200.65116446358817,195.79258422851564,8.354755946568076,13.213336181640614,4.858580235072537,209.8647918701172,210.9333953857422,212.22171020507812,213.04063415527344,205.08106994628906,1,1
2025-04-28,209.72497582911666,211.2230113707532,207.1883090170199,209.8647918701172,38743100,28,4,2025,0.41093164168530816,202.91533769880022,197.24135030110676,6.949454171316972,12.623441569010424,5.673987397693452,210.9333953857422,212.22171020507812,213.04063415527344,205.08106994628906,198.62953186035156,1,1
2025-04-29,208.41669143858087,211.96204522644123,208.09710321217068,210.9333953857422,36827600,29,4,2025,0.5091866558952551,204.9455326625279,199.22208557128906,5.987862723214278,11.71130981445313,5.723447091238853,212.22171020507812,213.04063415527344,205.08106994628906,198.62953186035156,198.25001525878906,1,1
