Date,Open,High,Low,Close,Volume,Day,Month,Year,% Change,MM_7,MM_15,Delta_7,Delta_15,Delta_MM,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Raised,Next Raised
2023-06-02,56.406499830657545,56.57239876929218,55.8839124781835,56.35673141479492,39185700,2,6,2023,4.266413288439286,54.29718453543527,55.50399958292643,2.059546879359651,0.8527318318684891,-1.2068150474911619,55.892208099365234,56.07469940185547,56.9622688293457,56.70512008666992,55.676536560058594,1,0
2023-06-05,56.7963744848209,56.80467133110199,55.270077529711685,55.892208099365234,21478500,5,6,2023,-0.8242552464775121,54.59699249267578,55.411094665527344,1.2952156066894531,0.4811134338378906,-0.8141021728515625,56.07469940185547,56.9622688293457,56.70512008666992,55.676536560058594,56.26548767089844,0,1
2023-06-06,56.24060468030407,56.73001101228908,55.90880045204614,56.07469940185547,31884200,6,6,2023,0.32650580232185256,54.74748829432896,55.40888264973958,1.3272111075265087,0.6658167521158873,-0.6613943554106214,56.9622688293457,56.70512008666992,55.676536560058594,56.26548767089844,57.252593994140625,1,1
2023-06-07,56.07469620827261,56.97056567495543,55.90879726791161,56.9622688293457,27377500,7,6,2023,1.5828340355951376,55.08403069632394,55.34196904500325,1.8782381330217603,1.6202997843424498,-0.25793834867931054,56.70512008666992,55.676536560058594,56.26548767089844,57.252593994140625,57.70053482055664,1,0
2023-06-09,57.79177263509097,57.899612635470085,56.613873776489996,56.70512008666992,30056800,9,6,2023,-0.4514369739136881,55.56751469203404,55.25238164265951,1.1376053946358837,1.4527384440104143,0.31513304937453057,55.676536560058594,56.26548767089844,57.252593994140625,57.70053482055664,57.791778564453125,0,0
2023-06-12,56.240601820826164,56.240601820826164,55.328138657349996,55.676536560058594,26651200,12,6,2023,-1.8139164947348796,55.95975276402065,55.136803436279294,-0.2832162039620556,0.5397331237792997,0.8229493277413553,56.26548767089844,57.252593994140625,57.70053482055664,57.791778564453125,57.56781005859375,0,1
2023-06-13,56.65535715600689,56.879321366261145,56.08299503287838,56.26548767089844,34288100,13,6,2023,1.0578084543828137,56.276150294712615,55.12187245686849,-0.010662623814177152,1.1436152140299498,1.154277837844127,57.252593994140625,57.70053482055664,57.791778564453125,57.56781005859375,56.08299255371094,1,1
2023-06-14,57.22770978644809,57.74200661710259,56.812956115202496,57.252593994140625,53775600,14,6,2023,1.7543726431660023,56.40413066319057,55.257910919189456,0.8484633309500538,1.994683074951169,1.1462197440011153,57.70053482055664,57.791778564453125,57.56781005859375,56.08299255371094,55.518924713134766,1,1
2023-06-15,57.3189621620947,57.77519378016846,56.70512843575501,57.70053482055664,31874100,15,6,2023,0.78239394089612,56.6624630519322,55.50731608072917,1.038071768624441,2.193218739827472,1.1551469712030311,57.791778564453125,57.56781005859375,56.08299255371094,55.518924713134766,55.220306396484375,1,1
2023-06-16,57.56781435289391,58.23141647025987,57.41020592302388,57.791778564453125,39953600,16,6,2023,0.15813327238689556,56.90776007516043,55.7738644917806,0.8840184892926928,2.017914072672525,1.1338955833798323,57.56781005859375,56.08299255371094,55.518924713134766,55.220306396484375,54.6645393371582,1,0
2023-06-19,57.77518689142108,57.77518689142108,56.97056376746886,57.56781005859375,14894300,19,6,2023,-0.38754388846086174,56.99426596505301,55.94363657633463,0.5735440935407397,1.624173482259117,1.0506293887183773,56.08299255371094,55.518924713134766,55.220306396484375,54.6645393371582,54.78067398071289,0,0
2023-06-20,57.23600726626192,57.252594628694524,55.834137816749916,56.08299255371094,35748700,20,6,2023,-2.579249589955801,56.90539060320173,56.04207127888997,-0.8223980494907934,0.04092127482096686,0.8633193243117603,55.518924713134766,55.220306396484375,54.6645393371582,54.78067398071289,55.43597412109375,0,0
2023-06-21,55.635055230665564,55.85901942057822,55.34472893683857,55.518924713134766,27336800,21,6,2023,-1.0057734348536407,56.88287462506975,56.18861745198568,-1.3639499119349878,-0.6696927388509124,0.6942571730840754,55.220306396484375,54.6645393371582,54.78067398071289,55.43597412109375,53.68571853637695,0,0
2023-06-22,55.303255869301886,56.2903716831559,54.99634218701318,55.220306396484375,21394900,22,6,2023,-0.5378676157604789,56.73356301443918,56.34124654134114,-1.5132566179548022,-1.1209401448567675,0.39231647309803463,54.6645393371582,54.78067398071289,55.43597412109375,53.68571853637695,54.341033935546875,0,0
2023-06-23,54.74748881205468,54.83043828695115,54.16683615914011,54.6645393371582,23510900,23,6,2023,-1.0064541390548243,56.36384092058454,56.38216883341472,-1.6993015834263403,-1.7176294962565137,-0.018327912830173432,54.78067398071289,55.43597412109375,53.68571853637695,54.341033935546875,53.270965576171875,0,1
