Date,Open,High,Low,Close,Volume,Day,Month,Year,% Change,MM_7,MM_15,Delta_7,Delta_15,Delta_MM,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Raised,Next Raised
2024-11-29,95653.953125,98693.171875,95407.8828125,97461.5234375,54968682476,29,11,2024,1.8912786163713058,95707.89174107143,94410.259375,1753.6316964285652,3051.264062500006,1297.6323660714406,96449.0546875,97279.7890625,95865.3046875,96002.1640625,98768.53125,1,0
2024-11-30,97468.8125,97499.34375,96144.21875,96449.0546875,31634227866,30,11,2024,-1.0388394458550332,95518.14508928571,94769.12916666667,930.9095982142899,1679.9255208333343,749.0159226190444,97279.7890625,95865.3046875,96002.1640625,98768.53125,96593.5703125,0,1
2024-12-01,96461.3359375,97888.125,95770.1875,97279.7890625,36590695296,1,12,2024,0.8613193542348574,95413.28348214286,95217.21666666666,1866.505580357145,2062.57239583334,196.0668154761952,95865.3046875,96002.1640625,98768.53125,96593.5703125,99920.7109375,1,0
2024-12-02,97276.0078125,98152.6015625,94482.8671875,95865.3046875,72680784305,2,12,2024,-1.454037255458307,95807.99888392857,95618.51354166666,57.30580357143481,246.79114583334012,189.48534226190532,96002.1640625,98768.53125,96593.5703125,99920.7109375,99923.3359375,0,1
2024-12-03,95854.59375,96297.203125,93629.5625,96002.1640625,67067810961,3,12,2024,0.1427621551364444,96381.83370535714,95982.48177083333,-379.66964285714494,19.682291666671517,399.35193452381645,98768.53125,96593.5703125,99920.7109375,99923.3359375,101236.015625,1,1
2024-12-04,95988.53125,99207.328125,94660.5234375,98768.53125,77199817112,4,12,2024,2.881567529768403,96782.69084821429,96410.79791666666,1985.8404017857101,2357.733333333337,371.8929315476271,96593.5703125,99920.7109375,99923.3359375,101236.015625,97432.71875,1,0
2024-12-05,98741.5390625,103900.46875,91998.78125,96593.5703125,149218945580,5,12,2024,-2.2020788503929523,96917.13392857143,96561.06979166667,-323.5636160714348,32.50052083333139,356.0641369047662,99920.7109375,99923.3359375,101236.015625,97432.71875,96675.4296875,0,1
2024-12-06,97074.2265625,102039.8828125,96514.875,99920.7109375,94534772658,6,12,2024,3.444474217316973,97268.44642857143,96655.46875,2652.264508928565,3265.2421875,612.9776785714348,99923.3359375,101236.015625,97432.71875,96675.4296875,101173.03125,1,1
2024-12-07,99916.7109375,100563.3828125,99030.8828125,99923.3359375,44177510897,7,12,2024,0.002627082989481444,97764.77232142857,96717.18020833333,2158.563616071435,3206.1557291666686,1047.5921130952338,101236.015625,97432.71875,96675.4296875,101173.03125,100043.0,1,1
2024-12-08,99921.9140625,101399.9921875,98771.515625,101236.015625,44125751925,8,12,2024,1.3136868131795154,98329.94754464286,96947.7625,2906.068080357145,4288.253125000003,1382.185044642858,97432.71875,96675.4296875,101173.03125,100043.0,101459.2578125,1,0
2024-12-09,101237.0625,101272.5078125,94355.9140625,97432.71875,110676473908,9,12,2024,-3.7568614800964073,98553.86383928571,96909.02239583334,-1121.1450892857101,523.6963541666628,1644.841443452373,96675.4296875,101173.03125,100043.0,101459.2578125,101372.96875,0,0
2024-12-10,97441.234375,98270.15625,94321.2578125,96675.4296875,104823780634,10,12,2024,-0.7772430783165474,98650.04464285714,97147.23125,-1974.614955357145,-471.8015624999971,1502.8133928571478,101173.03125,100043.0,101459.2578125,101372.96875,104298.6953125,0,1
2024-12-11,96656.0625,101913.359375,95747.2265625,101173.03125,85391409936,11,12,2024,4.652269534294651,98993.54464285714,97759.7453125,2179.486607142855,3413.285937499997,1233.799330357142,100043.0,101459.2578125,101372.96875,104298.6953125,106029.71875,1,0
2024-12-12,101167.8046875,102524.9140625,99339.953125,100043.0,72073983533,12,12,2024,-1.1169293200355757,99486.3203125,98031.7765625,556.6796875,2011.223437499997,1454.543749999997,101459.2578125,101372.96875,104298.6953125,106029.71875,106140.6015625,0,1
2024-12-13,100046.6484375,101888.8046875,99233.28125,101459.2578125,56894751583,13,12,2024,1.4156490833941326,99706.11272321429,98418.89583333333,1753.1450892857101,3040.3619791666715,1287.2168898809614,101372.96875,104298.6953125,106029.71875,106140.6015625,100041.5390625,1,0
2024-12-14,101451.4375,102618.8828125,100634.0546875,101372.96875,40422968793,14,12,2024,-0.08504799301751742,99913.203125,98679.65885416667,1459.765625,2693.3098958333285,1233.5442708333285,104298.6953125,106029.71875,106140.6015625,100041.5390625,97490.953125,0,1
2024-12-15,101373.53125,105047.5390625,101227.03125,104298.6953125,51145914137,15,12,2024,2.886101293644905,100350.72879464286,99202.96822916667,3947.966517857145,5095.727083333331,1147.7605654761865,106029.71875,106140.6015625,100041.5390625,97490.953125,97755.9296875,1,1
2024-12-16,104293.578125,107780.578125,103322.984375,106029.71875,91020417816,16,12,2024,1.6596788984881483,101578.87165178571,99786.296875,4450.84709821429,6243.421875,1792.5747767857101,106140.6015625,100041.5390625,97490.953125,97755.9296875,97224.7265625,1,1
2024-12-17,106030.6875,108268.4453125,105291.734375,106140.6015625,68589364868,17,12,2024,0.1045771070669721,102931.0390625,100471.31666666667,3209.5625,5669.284895833334,2459.7223958333343,100041.5390625,97490.953125,97755.9296875,97224.7265625,95104.9375,1,0
2024-12-18,106147.296875,106470.609375,100041.5390625,100041.5390625,93865656139,18,12,2024,-5.746210601989676,102769.39732142857,100740.60833333334,-2727.858258928565,-699.0692708333372,2028.788988095228,97490.953125,97755.9296875,97224.7265625,95104.9375,94686.2421875,0,0
2024-12-19,100070.6875,102748.1484375,95587.6796875,97490.953125,97221662392,19,12,2024,-2.5495268879325628,102404.81919642857,100655.43645833334,-4913.866071428565,-3164.483333333337,1749.382738095228,97755.9296875,97224.7265625,95104.9375,94686.2421875,98676.09375,0,1
2024-12-20,97484.6953125,98098.9140625,92175.1796875,97755.9296875,105634083408,20,12,2024,0.2717960528709318,101875.77232142857,100732.92708333333,-4119.842633928565,-2976.9973958333285,1142.8452380952367,97224.7265625,95104.9375,94686.2421875,98676.09375,99299.1953125,1,0
2024-12-21,97756.1953125,99507.1015625,96426.5234375,97224.7265625,51765334294,21,12,2024,-0.5433973434635808,101283.16629464286,100553.19479166667,-4058.439732142855,-3328.4682291666686,729.9715029761865,95104.9375,94686.2421875,98676.09375,99299.1953125,95795.515625,0,0
2024-12-22,97218.3203125,97360.265625,94202.1875,95104.9375,43147981314,22,12,2024,-2.1802983021374844,99969.77232142857,100231.96822916667,-4864.834821428565,-5127.030729166669,-262.1959077381034,94686.2421875,98676.09375,99299.1953125,95795.515625,94164.859375,0,0
2024-12-23,95099.390625,96416.2109375,92403.1328125,94686.2421875,65239002919,23,12,2024,-0.4402456102765462,98349.27566964286,99795.31666666667,-3663.033482142855,-5109.074479166666,-1446.0409970238106,98676.09375,99299.1953125,95795.515625,94164.859375,95163.9296875,0,1
2024-12-24,94684.34375,99404.0625,93448.015625,98676.09375,47114953674,24,12,2024,4.213760595334648,97282.91741071429,99878.20833333333,1393.1763392857101,-1202.1145833333285,-2595.2909226190386,99299.1953125,95795.515625,94164.859375,95163.9296875,93530.2265625,1,1
2024-12-25,98675.9140625,99478.75,97593.46875,99299.1953125,33700394629,25,12,2024,0.6314615210434305,97176.86830357143,100053.12604166666,2122.327008928565,-753.9307291666628,-2876.257738095228,95795.515625,94164.859375,95163.9296875,93530.2265625,92643.2109375,1,0
2024-12-26,99297.6953125,99884.5703125,95137.8828125,95795.515625,47054980873,26,12,2024,-3.528406928650052,96934.66294642857,99694.625,-1139.1473214285652,-3899.109375,-2759.962053571435,94164.859375,95163.9296875,93530.2265625,92643.2109375,93429.203125,0,0
2024-12-27,95704.9765625,97294.84375,93310.7421875,94164.859375,52419934565,27,12,2024,-1.7022260795415023,96421.65290178571,99302.74895833334,-2256.79352678571,-5137.889583333337,-2881.096056547627,95163.9296875,93530.2265625,92643.2109375,93429.203125,94419.7578125,0,1
2024-12-28,94160.1875,95525.8984375,94014.2890625,95163.9296875,24107436185,28,12,2024,1.0609799867287384,96127.25334821429,98883.06041666666,-963.3236607142899,-3719.13072916666,-2755.80706845237,93530.2265625,92643.2109375,93429.203125,94419.7578125,96886.875,1,0
2024-12-29,95174.0546875,95174.875,92881.7890625,93530.2265625,29635885267,29,12,2024,-1.7167251608511402,95902.29464285714,98360.2109375,-2372.068080357145,-4829.984375,-2457.916294642855,92643.2109375,93429.203125,94419.7578125,96886.875,98107.4296875,0,0
2024-12-30,93527.1953125,94903.3203125,91317.1328125,92643.2109375,56188003691,30,12,2024,-0.948373223930199,95610.43303571429,97583.17864583334,-2967.22209821429,-4939.967708333337,-1972.7456101190473,93429.203125,94419.7578125,96886.875,98107.4296875,98236.2265625,0,1
2024-12-31,92643.25,96090.6015625,91914.03125,93429.203125,43625106843,31,12,2024,0.8484077565384274,94860.87723214286,96743.14427083333,-1431.674107142855,-3313.9411458333343,-1882.2670386904792,94419.7578125,96886.875,98107.4296875,98236.2265625,98314.9609375,1,1
2025-01-01,93425.1015625,94929.8671875,92788.125,94419.7578125,24519888919,1,1,2025,1.060219561302178,94163.81473214286,95961.7546875,255.94308035714494,-1541.996874999997,-1797.939955357142,96886.875,98107.4296875,98236.2265625,98314.9609375,102078.0859375,1,1
2025-01-02,94416.2890625,97739.8203125,94201.5703125,96886.875,46009564411,2,1,2025,2.6129247147606893,94319.72321428571,95751.44375,2567.15178571429,1135.4312499999942,-1431.7205357142957,98107.4296875,98236.2265625,98314.9609375,102078.0859375,96922.703125,1,1
2025-01-03,96881.7265625,98956.9140625,96034.6171875,98107.4296875,35611391163,3,1,2025,1.2597729955682757,94882.94754464286,95792.5421875,3224.482142857145,2314.887499999997,-909.5946428571478,98236.2265625,98314.9609375,102078.0859375,96922.703125,95043.5234375,1,1
2025-01-04,98106.9921875,98734.4296875,97562.9765625,98236.2265625,22342608078,4,1,2025,0.13128146911018934,95321.84709821429,95824.56197916667,2914.37946428571,2411.6645833333314,-502.71488095237873,98314.9609375,102078.0859375,96922.703125,95043.5234375,92484.0390625,1,1
2025-01-05,98233.90625,98813.3046875,97291.765625,98314.9609375,20525254825,5,1,2025,0.0801480042089242,96005.38058035714,95897.24427083334,2309.580357142855,2417.71666666666,108.13630952380481,102078.0859375,96922.703125,95043.5234375,92484.0390625,94701.453125,1,1
2025-01-06,98314.953125,102482.875,97926.1484375,102078.0859375,51823432705,6,1,2025,3.8276219245942267,97353.21986607143,96362.12083333333,4724.866071428565,5715.965104166666,991.0990327381005,96922.703125,95043.5234375,92484.0390625,94701.453125,94566.59375,1,0
2025-01-07,102248.8515625,102712.484375,96132.875,96922.703125,58685738547,7,1,2025,-5.050430525956884,97852.29129464286,96511.21822916667,-929.5881696428551,411.4848958333314,1341.0730654761865,95043.5234375,92484.0390625,94701.453125,94566.59375,94488.4375,0,0
2025-01-08,96924.1640625,97258.3203125,92525.84375,95043.5234375,63875859171,8,1,2025,-1.9388436629511285,97941.40066964286,96269.046875,-2897.877232142855,-1225.5234375,1672.353794642855,92484.0390625,94701.453125,94566.59375,94488.4375,94516.5234375,0,0
2025-01-09,95043.484375,95349.71875,91220.84375,92484.0390625,62777261693,9,1,2025,-2.6929603222076492,97312.42410714286,95814.703125,-4828.385044642855,-3330.6640625,1497.720982142855,94701.453125,94566.59375,94488.4375,94516.5234375,96534.046875,0,1
2025-01-10,92494.4921875,95770.609375,92250.09375,94701.453125,62058693684,10,1,2025,2.3976181025154863,96825.85602678571,95741.765625,-2124.40290178571,-1040.3125,1084.0904017857101,94566.59375,94488.4375,94516.5234375,96534.046875,100504.4921875,1,0
2025-01-11,94700.8359375,94977.6875,93840.046875,94566.59375,18860894100,11,1,2025,-0.1424047578467369,96301.62276785714,95768.54791666666,-1735.029017857145,-1201.9541666666628,533.0748511904821,94488.4375,94516.5234375,96534.046875,100504.4921875,99756.90625,0,0
2025-01-12,94565.7265625,95367.5390625,93712.5078125,94488.4375,20885130965,12,1,2025,-0.08264678561502592,95754.9765625,95723.51510416667,-1266.5390625,-1235.0776041666686,31.461458333331393,94516.5234375,96534.046875,100504.4921875,99756.90625,104462.0390625,0,1
2025-01-13,94488.890625,95837.0,89260.1015625,94516.5234375,72978998252,13,1,2025,0.029724205673309356,94674.75334821429,95789.26822916667,-158.22991071428987,-1272.7447916666715,-1114.5148809523816,96534.046875,100504.4921875,99756.90625,104462.0390625,104408.0703125,1,1
2025-01-14,94519.0078125,97352.6640625,94322.15625,96534.046875,53769675818,14,1,2025,2.1345722040169157,94619.23102678571,96048.65729166666,1914.8158482142899,485.3895833333372,-1429.4262648809527,100504.4921875,99756.90625,104462.0390625,104408.0703125,101089.609375,1,1
2025-01-15,96534.046875,100697.234375,96501.640625,100504.4921875,57805923627,15,1,2025,4.11299996325778,95399.36941964286,96520.34322916667,5105.122767857145,3984.1489583333314,-1120.9738095238135,99756.90625,104462.0390625,104408.0703125,101089.609375,102016.6640625,1,0
2025-01-16,100505.296875,100781.5859375,97364.4453125,99756.90625,54103781805,16,1,2025,-0.7438333563293043,96438.35044642857,96876.153125,3318.555803571435,2880.753125000003,-437.8026785714319,104462.0390625,104408.0703125,101089.609375,102016.6640625,106146.265625,0,1
2025-01-17,100025.765625,105884.2265625,99948.90625,104462.0390625,71888972663,17,1,2025,4.716598568833419,97832.71986607143,97381.1640625,6629.319196428565,7080.875,451.5558035714348,104408.0703125,101089.609375,102016.6640625,106146.265625,103653.0703125,1,0
2025-01-18,104124.953125,104913.203125,102226.6171875,104408.0703125,50445655726,18,1,2025,-0.051663504258914195,99238.64508928571,97801.20677083333,5169.42522321429,6606.863541666666,1437.4383184523758,101089.609375,102016.6640625,106146.265625,103653.0703125,103960.171875,0,0
2025-01-19,104411.2890625,106299.796875,99570.53125,101089.609375,76789928525,19,1,2025,-3.1783567377192568,100181.66964285714,97991.43229166667,907.9397321428551,3098.1770833333285,2190.2373511904734,102016.6640625,106146.265625,103653.0703125,103960.171875,104819.484375,0,1
2025-01-20,101083.75,109114.8828125,99471.359375,102016.6640625,126279678351,20,1,2025,0.9170622908047932,101253.11830357143,98238.2125,763.5457589285652,3778.451562500006,3014.9058035714406,106146.265625,103653.0703125,103960.171875,104819.484375,104714.6484375,1,1
2025-01-21,102052.578125,107180.921875,100103.953125,106146.265625,88733878242,21,1,2025,4.047967653568851,102626.29241071429,98509.42447916667,3519.97321428571,7636.8411458333285,4116.867931547618,103653.0703125,103960.171875,104819.484375,104714.6484375,102682.5,1,0
2025-01-22,106136.3828125,106294.34375,103360.265625,103653.0703125,53878181052,22,1,2025,-2.3488299826845638,103076.08928571429,98958.115625,576.9810267857101,4694.954687499994,4117.973660714284,103960.171875,104819.484375,104714.6484375,102682.5,102087.6875,0,1
2025-01-23,103657.671875,106820.328125,101257.8046875,103960.171875,104104515428,23,1,2025,0.2962783076025932,103676.55580357143,99552.55885416667,283.6160714285652,4407.613020833334,4123.996949404769,104819.484375,104714.6484375,102682.5,102087.6875,101332.4765625,1,1
2025-01-24,103965.671875,107098.546875,102772.125,104819.484375,52388229265,24,1,2025,0.8265785680243276,103727.61941964286,100374.921875,1091.864955357145,4444.5625,3352.697544642855,104714.6484375,102682.5,102087.6875,101332.4765625,103703.2109375,1,0
2025-01-25,104824.03125,105243.7890625,104120.375,104714.6484375,23888996502,25,1,2025,-0.10001569662844156,103771.41629464286,101042.46822916667,943.2321428571449,3672.1802083333314,2728.9480654761865,102682.5,102087.6875,101332.4765625,103703.2109375,104735.3046875,0,0
2025-01-26,104713.2109375,105438.6484375,102507.7109375,102682.5,22543395879,26,1,2025,-1.9406534499448846,103998.97209821429,101583.52864583333,-1316.4720982142899,1098.9713541666715,2415.4434523809614,102087.6875,101332.4765625,103703.2109375,104735.3046875,102405.0234375,0,0
2025-01-27,102680.3046875,103214.109375,97795.9375,102087.6875,89006608428,27,1,2025,-0.5792734886665207,104009.11830357143,102090.1453125,-1921.4308035714348,-2.4578124999970896,1918.9729910714377,101332.4765625,103703.2109375,104735.3046875,102405.0234375,100655.90625,0,0
2025-01-28,102095.4140625,103730.8203125,100238.1875,101332.4765625,47180685494,28,1,2025,-0.7397669160641884,103321.43415178571,102544.5421875,-1988.9575892857101,-1212.065625000003,776.8919642857072,103703.2109375,104735.3046875,102405.0234375,100655.90625,97688.9765625,0,1
2025-01-29,101317.5234375,104750.8046875,101283.8203125,103703.2109375,47432049818,29,1,2025,2.3395602825692086,103328.59709821429,103022.48645833334,374.6138392857101,680.7244791666599,306.11063988094975,104735.3046875,102405.0234375,100655.90625,97688.9765625,101405.421875,1,1
