Date,Close,% Change,Delta_MM,Raised,Next Raised
2024-11-21 00:00:00+00:00,98504.7265625,4.415154542830901,5030.865773809521,1,1.0
2024-11-22 00:00:00+00:00,98997.6640625,0.5004201495724558,4624.439211309524,1,0.0
2024-11-23 00:00:00+00:00,97777.28125,-1.232738998497518,4240.243377976192,0,1.0
2024-11-24 00:00:00+00:00,98013.8203125,0.2419161787646784,3991.4325148809585,1,0.0
2024-11-25 00:00:00+00:00,93102.296875,-5.01105193312582,3515.2237351190415,0,0.0
2024-11-26 00:00:00+00:00,91985.3203125,-1.1997304040733403,3245.091517857145,0,1.0
2024-11-27 00:00:00+00:00,95962.53125,4.323745271515378,2943.172991071435,1,0.0
2024-11-28 00:00:00+00:00,95652.46875,-0.32310787967048116,2197.8206101190444,0,1.0
2024-11-29 00:00:00+00:00,97461.5234375,1.8912786163713058,1297.6323660714406,1,0.0
2024-11-30 00:00:00+00:00,96449.0546875,-1.0388394458550332,749.0159226190444,0,1.0
2024-12-01 00:00:00+00:00,97279.7890625,0.8613193542348574,196.0668154761952,1,0.0
2024-12-02 00:00:00+00:00,95865.3046875,-1.454037255458307,189.48534226190532,0,1.0
2024-12-03 00:00:00+00:00,96002.1640625,0.1427621551364444,399.35193452381645,1,1.0
2024-12-04 00:00:00+00:00,98768.53125,2.881567529768403,371.8929315476271,1,0.0
2024-12-05 00:00:00+00:00,96593.5703125,-2.2020788503929523,356.0641369047662,0,1.0
2024-12-06 00:00:00+00:00,99920.7109375,3.444474217316973,612.9776785714348,1,1.0
2024-12-07 00:00:00+00:00,99923.3359375,0.002627082989481444,1047.5921130952338,1,1.0
2024-12-08 00:00:00+00:00,101236.015625,1.3136868131795154,1382.185044642858,1,0.0
2024-12-09 00:00:00+00:00,97432.71875,-3.7568614800964073,1644.841443452373,0,0.0
2024-12-10 00:00:00+00:00,96675.4296875,-0.7772430783165474,1502.8133928571478,0,1.0
2024-12-11 00:00:00+00:00,101173.03125,4.652269534294651,1233.799330357142,1,0.0
2024-12-12 00:00:00+00:00,100043.0,-1.1169293200355757,1454.543749999997,0,1.0
2024-12-13 00:00:00+00:00,101459.2578125,1.4156490833941326,1287.2168898809614,1,0.0
2024-12-14 00:00:00+00:00,101372.96875,-0.08504799301751742,1233.5442708333285,0,1.0
2024-12-15 00:00:00+00:00,104298.6953125,2.886101293644905,1147.7605654761865,1,1.0
2024-12-16 00:00:00+00:00,106029.71875,1.6596788984881483,1792.5747767857101,1,1.0
2024-12-17 00:00:00+00:00,106140.6015625,0.1045771070669721,2459.7223958333343,1,0.0
2024-12-18 00:00:00+00:00,100041.5390625,-5.746210601989676,2028.788988095228,0,0.0
