Date,Open,High,Low,Close,Volume,Day,Month,Year,% Change,Raised,Next Raised,MM_7,MM_15,Delta_7,Delta_15,Delta_MM,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,LagR_1,LagR_2,LagR_3,LagR_4,LagR_5
2014-10-01,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,26229400,1,10,2014,-0.8603337970520819,0,0,391.24656895228793,405.61126505533855,-7.63157871791293,-21.99627482096355,-14.364696103050619,386.9440002441406,375.4670104980469,377.1809997558594,399.5199890136719,404.42498779296875,1.0,0.0,0.0,0.0,0.0
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,21777700,2,10,2014,-2.22697222086099,0,0,386.03199550083707,400.12713012695315,-10.960004534040195,-25.055139160156273,-14.095134626116078,383.614990234375,386.9440002441406,375.4670104980469,377.1809997558594,399.5199890136719,0.0,1.0,0.0,0.0,0.0
2014-10-03,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,30901200,3,10,2014,-4.148536263261304,0,0,379.6158534458705,395.79859619140626,-20.103860037667403,-36.286602783203136,-16.182742745535734,375.0719909667969,383.614990234375,386.9440002441406,375.4670104980469,377.1809997558594,0.0,0.0,1.0,0.0,0.0
2014-10-04,359.8919982910156,364.48699951171875,325.885986328125,328.8659973144531,47236500,4,10,2014,-8.524332054467354,0,0,369.52242606026783,391.40326334635415,-40.65642874581471,-62.53726603190103,-21.88083728608632,359.5119934082031,375.0719909667969,383.614990234375,386.9440002441406,375.4670104980469,0.0,0.0,0.0,1.0,0.0
2014-10-05,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,83308096,5,10,2014,-2.5408487399317115,0,1,361.4265703473772,385.5103312174479,-40.91656058175221,-65.00032145182291,-24.083760870070705,328.8659973144531,359.5119934082031,375.0719909667969,383.614990234375,386.9440002441406,0.0,0.0,0.0,0.0,1.0
2014-10-06,320.3890075683594,345.1340026855469,302.55999755859375,330.0790100097656,79011800,6,10,2014,2.985554258083245,1,1,354.9425702776228,380.9275309244792,-24.863560267857167,-50.84852091471356,-25.984960646856393,320.510009765625,328.8659973144531,359.5119934082031,375.0719909667969,383.614990234375,0.0,0.0,0.0,0.0,0.0
2014-10-07,330.5840148925781,339.24700927734375,320.48199462890625,336.18701171875,49199900,7,10,2014,1.8504665621736027,1,1,347.6915719168527,376.5298645019531,-11.504560198102695,-40.342852783203114,-28.83829258510042,330.0790100097656,320.510009765625,328.8659973144531,359.5119934082031,375.0719909667969,1.0,0.0,0.0,0.0,0.0
2014-10-08,336.1159973144531,354.364013671875,327.18798828125,352.94000244140625,54736300,8,10,2014,4.983235561959076,1,1,343.30943080357144,371.0064656575521,9.630571637834805,-18.06646321614585,-27.697034853980654,336.18701171875,330.0790100097656,320.510009765625,328.8659973144531,359.5119934082031,1.0,1.0,0.0,0.0,0.0
2014-10-09,352.74798583984375,382.72601318359375,347.68701171875,365.0260009765625,83641104,9,10,2014,3.424377642532228,1,0,341.8742893763951,367.12786661783855,23.151711600167403,-2.1018656412760492,-25.253577241443452,352.94000244140625,336.18701171875,330.0790100097656,320.510009765625,328.8659973144531,1.0,1.0,1.0,0.0,0.0
2014-10-10,364.68701171875,375.0669860839844,352.9630126953125,361.56201171875,43665700,10,10,2014,-0.9489705523839986,0,1,342.16714913504467,363.7937337239583,19.394862583705333,-2.2317220052083258,-21.62658458891366,365.0260009765625,352.94000244140625,336.18701171875,330.0790100097656,320.510009765625,1.0,1.0,1.0,1.0,0.0
2014-10-11,361.36199951171875,367.1910095214844,355.95098876953125,362.29901123046875,13345200,11,10,2014,0.2038376510340001,1,1,346.9432939801897,360.98533528645834,15.355717250279042,1.3136759440104129,-14.04204130626863,361.56201171875,365.0260009765625,352.94000244140625,336.18701171875,330.0790100097656,0.0,1.0,1.0,1.0,1.0
