Date,Open,High,Low,Close,Volume,Day,Month,Year,% Change,Raised,Next Raised,MM_7,MM_15,Delta_7,Delta_15,Delta_MM,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,LagR_1,LagR_2,LagR_3,LagR_4,LagR_5
2024-06-05,11.477774282479222,11.58577789427309,11.310861397304967,11.359952926635742,35635900,5,6,2024,-1.0265121370287011,0,1,11.402032443455287,11.669561767578125,-0.04207951681954469,-0.30960884094238317,-0.2675293241228385,11.477773666381836,11.340316772460938,11.35013484954834,11.310861587524414,11.37959098815918,1.0,0.0,1.0,0.0,0.0
2024-06-06,11.33049789189427,11.62505175150654,11.33049789189427,11.605414390563965,34548200,6,6,2024,2.160761277035639,1,0,11.403435025896345,11.637488110860188,0.20197936466762023,-0.03207372029622313,-0.23405308496384336,11.359952926635742,11.477773666381836,11.340316772460938,11.35013484954834,11.310861587524414,0.0,1.0,0.0,1.0,0.0
2024-06-07,11.497411305941052,11.546503770192247,11.320678809181098,11.35013484954834,32079700,7,6,2024,-2.19965899040353,0,0,11.399227006094796,11.583813921610515,-0.04909215654645571,-0.2336790720621753,-0.1845869155157196,11.605414390563965,11.359952926635742,11.477773666381836,11.340316772460938,11.35013484954834,1.0,0.0,1.0,0.0,1.0
2024-06-10,11.310861410146122,11.369771619954292,11.222495159072965,11.25195026397705,23774700,10,6,2024,-0.8650521502411634,0,0,11.390811102730888,11.523594093322753,-0.13886083875383726,-0.2716438293457024,-0.13278299059186516,11.35013484954834,11.605414390563965,11.359952926635742,11.477773666381836,11.340316772460938,0.0,1.0,0.0,1.0,0.0
2024-06-11,11.359952759509223,11.359952759509223,11.18322119652451,11.193038940429688,20061200,11,6,2024,-0.5235654456807071,0,0,11.368368829999651,11.477774620056152,-0.17532988956996398,-0.28473567962646484,-0.10940579005650086,11.25195026397705,11.35013484954834,11.605414390563965,11.359952926635742,11.477773666381836,0.0,0.0,1.0,0.0,1.0
2024-06-12,11.242131691071814,11.261769052102943,10.98685161583258,11.065400123596191,40929700,12,6,2024,-1.1403410415419923,0,0,11.329095023018974,11.428682390848795,-0.26369489942278257,-0.36328226725260393,-0.09958736782982136,11.193038940429688,11.25195026397705,11.35013484954834,11.605414390563965,11.359952926635742,0.0,0.0,0.0,1.0,0.0
2024-06-13,10.96721563488338,11.006489422173702,10.869030698477097,10.888668060302734,39287400,13,6,2024,-1.5971592650914523,0,1,11.244937079293388,11.371080843607585,-0.35626901899065366,-0.4824127833048504,-0.12614376431419672,11.065400123596191,11.193038940429688,11.25195026397705,11.35013484954834,11.605414390563965,0.0,0.0,0.0,0.0,1.0
2024-06-14,10.888667523990852,11.075217770341279,10.780663911991377,11.035943984985352,22356900,14,6,2024,1.3525614323715685,1,0,11.198650087629046,11.323952293395996,-0.16270610264369445,-0.2880083084106442,-0.12530220576694973,10.888668060302734,11.065400123596191,11.193038940429688,11.25195026397705,11.35013484954834,0.0,0.0,0.0,0.0,0.0
2024-06-17,11.006488880058633,11.124310236126412,10.986851519200217,11.035943984985352,18072300,17,6,2024,0.0,0,1,11.117297172546387,11.282714780171712,-0.08135318756103516,-0.24677079518636091,-0.16541760762532576,11.035943984985352,10.888668060302734,11.065400123596191,11.193038940429688,11.25195026397705,1.0,0.0,0.0,0.0,0.0
2024-06-18,10.986850919076257,11.163583411704895,10.957395815758435,11.045762062072754,37284200,18,6,2024,0.08896454259608166,1,0,11.07381534576416,11.246059163411458,-0.02805328369140625,-0.2002971013387036,-0.17224381764729735,11.035943984985352,11.035943984985352,10.888668060302734,11.065400123596191,11.193038940429688,0.0,1.0,0.0,0.0,0.0
